time,temperature_2m_max,temperature_2m_min,precipitation_sum,wind_speed_10m_max
14-May-25,41,22.8,0,13.1
15-May-25,42.5,25.1,0,15.6
16-May-25,42.4,24.8,0,15.7
17-May-25,42.8,26,0,9.3
18-May-25,43.8,26.9,0,11.9
19-May-25,40.1,27.6,0.8,25.8
20-May-25,42.8,24.2,0,13.6
21-May-25,41.4,26.9,0.2,30
22-May-25,40.4,26.8,0,18.2
23-May-25,39.4,28,0,18.4
24-May-25,37.6,24.3,16.5,19.6
25-May-25,34.6,22.3,3.5,22.7
26-May-25,36.3,23.3,0,10.1
27-May-25,37,25,0,9.3
28-May-25,37.9,26.3,0,12.9
29-May-25,38.1,24.2,0,12
30-May-25,35.7,24.7,0,19.4
31-May-25,37.3,24.6,0.2,20.2
01-Jun-25,36.1,23.3,0.1,24.6
02-Jun-25,36,22.1,0,12.8
03-Jun-25,34.5,23.6,0,15.7
04-Jun-25,33.4,21.6,0.1,14.9
05-Jun-25,35.2,21.4,0,8.1
06-Jun-25,36.8,22.6,0,9.8
07-Jun-25,39.3,24.2,0,10.5
08-Jun-25,42,25.8,0,12.1
09-Jun-25,41.5,28.6,0,14.5
10-Jun-25,41.1,28.4,0,13
11-Jun-25,43,27.2,0,17.4
12-Jun-25,43.4,28.7,0,11.4
13-Jun-25,40.9,29.5,0.9,14.4
14-Jun-25,40.8,28.9,0,11.4
15-Jun-25,41.2,30.2,0,11.3
16-Jun-25,35.9,26.7,2.7,12.9
17-Jun-25,32.5,24.9,11.7,11.9
18-Jun-25,36.8,25.2,0,11
19-Jun-25,36.8,27.5,0.3,11.3
20-Jun-25,36.5,29.1,0.1,14.2
21-Jun-25,35.6,27.5,1.1,13.5
22-Jun-25,34.2,26.9,7,14.3
23-Jun-25,34.8,27,2.3,14.3
24-Jun-25,36.3,26.5,1,12.4
25-Jun-25,32.9,26.8,2.6,18.4
26-Jun-25,32.6,25.3,12.4,15.1
27-Jun-25,33.4,25,14.4,16.2
28-Jun-25,35.5,25.8,5.8,15.7
29-Jun-25,35.1,24.5,5.7,14.1
30-Jun-25,32.3,24.5,6.9,14.8
01-Jul-25,32.6,24.6,2.6,17.1
02-Jul-25,33.8,25.8,0,8.3
03-Jul-25,33.6,27,0.4,16.4
04-Jul-25,33.9,26.1,8.9,13
05-Jul-25,35.4,25.3,11.2,15.8
06-Jul-25,33.3,25.6,15,19.7
07-Jul-25,34.6,25.6,3.3,12.7
08-Jul-25,33.2,25.2,7.3,10.4
09-Jul-25,31.9,25.4,15.7,13.8
10-Jul-25,31.1,24.5,14,12.5
11-Jul-25,33.1,24.6,0,9.3
12-Jul-25,34,25.8,0,8.8
13-Jul-25,31.5,26.1,1.1,7.4
14-Jul-25,31.8,26.3,1,9
15-Jul-25,32.1,25.2,6.2,13.6
16-Jul-25,31.3,25.5,22.6,20.1
17-Jul-25,31.7,26,4.4,15.4
18-Jul-25,32.1,25.9,8.2,12.9
19-Jul-25,33.9,26.1,0,9.2
20-Jul-25,34.1,26.7,0,8.2
21-Jul-25,32.1,26.5,1.6,15
22-Jul-25,31.3,26,1.5,13.5
23-Jul-25,32.3,24.8,5.4,13.3
24-Jul-25,33.2,25.3,0.4,10.1
25-Jul-25,33.1,25.3,2.4,9.8
26-Jul-25,34.4,27,0.2,8.4
27-Jul-25,34.5,28.2,0.4,9.7
28-Jul-25,34.8,25.5,0.4,15.5
29-Jul-25,32.4,25.3,2.4,16.4
30-Jul-25,31.3,25,31.3,15.3
31-Jul-25,31,26.2,15.6,13
01-Aug-25,30.7,25.9,16.6,12.5
02-Aug-25,31.9,25.1,2.4,10.5
03-Aug-25,32.7,25.3,9.6,9
04-Aug-25,33.5,24.5,3.4,20.3
05-Aug-25,32.5,24.9,5.2,18.8
06-Aug-25,32.6,24.1,3.8,17.7
07-Aug-25,33.1,25.2,1.7,12.8
08-Aug-25,34.4,24.5,18.3,16
09-Aug-25,33.1,24.2,3.6,11.5
10-Aug-25,34,26.6,0.5,7.5
11-Aug-25,34.4,27.4,0.1,10.4
12-Aug-25,30.4,26.5,28.2,16.7
13-Aug-25,33.3,26.4,0.4,7.6
14-Aug-25,29.4,26.3,29.7,13.2
15-Aug-25,31.4,25.5,0.3,5.5
16-Aug-25,32.5,26.1,0.1,10.9
17-Aug-25,32.7,25.7,0.3,14.5
18-Aug-25,29.9,24.8,21.3,13.8
19-Aug-25,33.1,25.5,0,9.7
20-Aug-25,31.6,24.2,10,14.2
21-Aug-25,33.3,24.4,39,12.9
22-Aug-25,35,27.2,36,12.1
